"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITD3","Veneto","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",733,,
"ITE1","Toscana","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","SUR","istituto tecnico per geometri","2019","2019",13,,
"ITD3","Veneto","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",359,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",381,,
"IT","Italia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",389,,
"ITC1","Piemonte","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",564,,
"ITE4","Lazio","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","ALL","totale","2019","2019",8205,,
"ITF3","Campania","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",137,,
"ITE","Centro","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",9,,
"IT","Italia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","STA","statale","TECH","altri istituti tecnici","2019","2019",4328,,
"ITC1","Piemonte","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",1880,,
"ITE","Centro","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",8457,,
"ITF2","Molise","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",809,,
"ITE","Centro","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",29659,,
"ITE","Centro","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",13,,
"ITE3","Marche","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",6681,,
"IT","Italia","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",2387751,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",82,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",3055,,
"ITE3","Marche","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",3440,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",229,,
"ITF2","Molise","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SUR","istituto tecnico per geometri","2019","2019",5,,
"ITC4","Lombardia","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",2438,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","SCI","liceo scientifico","2019","2019",54,,
"ITF","Sud","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",12787,,
"ITD1","Provincia Autonoma Bolzano / Bozen","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",3,,
"ITF3","Campania","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",52,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",21576,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",170,,
